NAME,STATUS,ISIN CODE,CODE,TRADING COUNTER NAME
EXIMBKKOR US$1B1.75%N190526,,US302154CB33,4D1B,ExImKor n1.75%190526S
EX-IMBKKOR US$1B2.125%N320118,,US302154DN61,MHTB,ExImKor n2.125%320118S
EXIMBKKOR US$1B2.625%N260526,,US302154CC16,4C9B,ExImKor n2.625%260526S
EXIMBKKOR US$1B3%N221101,,US302154CQ02,83LB,ExImKor n3%221101S
EXIMBKKOR US$1B3.25%N251110,,US302154BY45,37CB,ExImKor n3.25%251110S
EXIMBKKOR US$1B4%N240915,,US302154DP10,NQPB,ExImKor n4%240915S
EXIMBKKOR US$1B4.25%N270915,,US302154DR75,IFSB,ExImKor n4.25%270915S
EXIMBKKOR US$1B4.875%N260111,,US302154DU05,MVXB,ExImKor n4.875%260111S
EXIMBKKOR US$1B5.125%N330111,,US302154DW60,UMTB,ExImKor n5.125%330111S
EXIMBKKOR US$300M1.125%N260324,,XS2323054283,OPYB,ExImBkKor n1.125%260324S
EXIMBKKOR US$300M1.875%N211021,,US302154CF47,60OB,ExImKor n1.875%211021S
EXIMBKKOR US$30M2.27%N260816,,XS1475323777,4V3B,ExImKor n2.27%260816S
EXIMBKKOR US$30M3.044%N300306,,XS1198837251,25LB,ExImKor n3.044%300306S
EXIMBKKOR US$400M F280114,,US302154EH84,PCXB,ExImBkKor f280114S
EX-IMBKKOR US$400M0.75%N250921,,US302154DC07,XNVB,ExImKor n0.75%250921S
EXIMBKKOR US$400M2.125%N210211,,US302154BZ10,39ZB,ExImKor n2.125%210211S
EXIMBKKOR US$400M2.5%N201101,,US302154CP29,83MB,ExImKor n2.5%201101S
EXIMBKKOR US$40M3.087%N300310,,XS1200055371,25RB,ExImKor n3.087%300310S
EX-IMBKKOR US$40M4%251107,,XS0990511163,2K5B,ExImKor n4%251107S
EXIMBKKOR US$500M F280922,,US302154EN52,QWKB,ExImBkKor f280922S
EXIMBKKOR US$500M F281121,,XS2716680744,RNVB,ExImBkKor f281121S
EXIMBKKOR US$500M F290911,,US302154EF29,LGNB,ExImBkKor f290911S
EX-IMBKKOR US$500M1.25%N300921,,US302154DD89,UWEB,ExImKor n1.25%300921S
EX-IMBKKOR US$500M2.875%180917,,US302154BH12,2B3B,ExImKor n2.875%180917S
EXIMBKKOR US$500M4.5%N320915,,US302154DS58,SBXB,ExImKor n4.5%320915S
EXIMBKKOR US$500MF220625,,US302154CX52,QHQB,ExImBkKor f220625S
EXIMBKKOR US$50M F260623,,XS2638454632,MDFB,ExImBkKor f260623S
EXIMBKKOR US$50M Z431026,,XS2707821752,IGOB,ExImBkKor z431026S
EXIMBKKOR US$50M Z431220,,XS2733492784,TRSB,ExImBkKor z431220S
EXIMBKKOR US$50M Z510416,,XS2331731187,VM3B,ExImBkKor z510416S
EXIMBKKOR US$50M Z510610,,XS2351088799,JVXB,ExImBkKor z510610S
EXIMBKKOR US$50M2.085%N260722,,XS1443250870,4K9B,ExImKor n2.085%260722S
EXIMBKKOR US$50M2.6%N260225B,,XS1371441319,3S3B,ExImKor n2.6%260225B S
EXIMBKKOR US$50M2.7%N270401,,XS1211568735,27QB,ExImKor n2.7%270401S
EXIMBKKOR US$50M3.02%N300304,,XS1197833723,25HB,ExImKor n3.02%300304S
EXIMBKKOR US$50M3.047%N250901,,XS1282646717,34RB,ExImKor n3.047%250901S
EXIMBKKOR US$50M3.32%N300903,,XS1283637772,34SB,ExImKor n3.32%300903S
EXIMBKKOR US$50M3.55%N371108A,,XS1713844279,84HB,ExImKor n3.55%371108A S
EXIMBKKOR US$50M3.55%N371108B,,XS1713830054,84IB,ExImKor n3.55%371108B S
EXIMBKKOR US$50M3.65%N471025,,XS1706316251,82UB,ExImKor n3.65%471025S
