calcDate,currency,date,close
20251222,JPY,20000131,19539.69921875
20251222,JPY,20000229,19959.51953125
20251222,JPY,20000331,20337.3203125
20251222,JPY,20000430,17973.69921875
20251222,JPY,20000531,16332.4501953125
20251222,JPY,20000630,17411.05078125
20251222,JPY,20000731,15727.490234375
20251222,JPY,20000831,16861.259765625
20251222,JPY,20000930,15747.259765625
20251222,JPY,20001031,14539.599609375
20251222,JPY,20001130,14648.509765625
20251222,JPY,20001231,13785.6904296875
20251222,JPY,20010131,13843.5498046875
20251222,JPY,20010228,12883.5400390625
20251222,JPY,20010331,12999.7001953125
20251222,JPY,20010430,13934.3203125
20251222,JPY,20010531,13262.1396484375
20251222,JPY,20010630,12969.0498046875
20251222,JPY,20010731,11860.76953125
20251222,JPY,20010831,10713.509765625
20251222,JPY,20010930,9774.6796875
20251222,JPY,20011031,10366.33984375
20251222,JPY,20011130,10697.4404296875
20251222,JPY,20011231,10542.6201171875
20251222,JPY,20020131,9997.7998046875
20251222,JPY,20020228,10587.830078125
20251222,JPY,20020331,11024.9404296875
20251222,JPY,20020430,11492.5400390625
20251222,JPY,20020531,11763.7001953125
20251222,JPY,20020630,10621.83984375
20251222,JPY,20020731,9877.9404296875
20251222,JPY,20020831,9619.2998046875
20251222,JPY,20020930,9383.2900390625
20251222,JPY,20021031,8640.48046875
20251222,JPY,20021130,9215.5595703125
20251222,JPY,20021231,8578.9501953125
20251222,JPY,20030131,8339.9404296875
20251222,JPY,20030228,8363.0400390625
20251222,JPY,20030331,7972.7099609375
20251222,JPY,20030430,7831.419921875
20251222,JPY,20030531,8424.509765625
20251222,JPY,20030630,9083.1103515625
20251222,JPY,20030731,9563.2099609375
20251222,JPY,20030831,10343.5498046875
20251222,JPY,20030930,10219.0498046875
20251222,JPY,20031031,10559.58984375
20251222,JPY,20031130,10100.5703125
20251222,JPY,20031231,10676.6396484375
20251222,JPY,20040131,10783.6103515625
20251222,JPY,20040229,11041.919921875
20251222,JPY,20040331,11715.3896484375
20251222,JPY,20040430,11761.7900390625
20251222,JPY,20040531,11236.3701171875
20251222,JPY,20040630,11858.8701171875
20251222,JPY,20040731,11325.7802734375
20251222,JPY,20040831,11081.7900390625
20251222,JPY,20040930,10823.5703125
20251222,JPY,20041031,10771.419921875
20251222,JPY,20041130,10899.25
20251222,JPY,20041231,11488.759765625
20251222,JPY,20050131,11387.58984375
20251222,JPY,20050228,11740.599609375
20251222,JPY,20050331,11668.9501953125
